+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
| 表名                       | 字段名             | 字段类型                                                                     | 是否允许为空       | 默认值            | 字段备注                                     | 键类型(PRI主键)      |
| travel_note_comments       | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| travel_note_likes          | id                 | int                                                                          | NO                 | NULL              | 点赞ID                                       | PRI                  |
| travel_note_likes          | note_id            | int                                                                          | NO                 | NULL              | 游记ID                                       | MUL                  |
| travel_note_likes          | user_id            | int                                                                          | NO                 | NULL              | 用户ID                                       | MUL                  |
| travel_note_likes          | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| travel_note_tags           | id                 | int                                                                          | NO                 | NULL              | 标签ID                                       | PRI                  |
| travel_note_tags           | note_id            | int                                                                          | NO                 | NULL              | 游记ID                                       | MUL                  |
| travel_note_tags           | tag_name           | varchar(50)                                                                  | NO                 | NULL              | 标签名称                                     | MUL                  |
| travel_note_tags           | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| travel_notes               | id                 | int                                                                          | NO                 | NULL              | 游记ID                                       | PRI                  |
| travel_notes               | user_id            | int                                                                          | NO                 | NULL              | 用户ID                                       | MUL                  |
| travel_notes               | title              | varchar(100)                                                                 | NO                 | NULL              | 游记标题                                     |                      |
| travel_notes               | content            | text                                                                         | YES                | NULL              | 游记内容                                     |                      |
| travel_notes               | cover_image        | varchar(500)                                                                 | YES                | NULL              | 封面图                                       |                      |
| travel_notes               | images             | text                                                                         | YES                | NULL              | 图片列表(JSON格式)                           |                      |
| travel_notes               | city_id            | int                                                                          | YES                | NULL              | 关联城市ID                                   | MUL                  |
| travel_notes               | views_count        | int                                                                          | YES                | 0                 | 浏览量                                       | MUL                  |
| travel_notes               | likes_count        | int                                                                          | YES                | 0                 | 点赞数                                       |                      |
| travel_notes               | comments_count     | int                                                                          | YES                | 0                 | 评论数                                       |                      |
| travel_notes               | is_public          | tinyint(1)                                                                   | YES                | 1                 | 是否公开                                     | MUL                  |
| travel_notes               | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              | MUL                  |
| travel_notes               | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| travel_plan                | id                 | int                                                                          | NO                 | NULL              | 计划ID                                       | PRI                  |
| travel_plan                | title              | varchar(100)                                                                 | NO                 | NULL              | 计划标题                                     |                      |
| travel_plan                | description        | text                                                                         | YES                | NULL              | 计划描述                                     |                      |
| travel_plan                | user_id            | int                                                                          | NO                 | NULL              | 用户ID                                       | MUL                  |
| travel_plan                | start_date         | date                                                                         | YES                | NULL              | 开始日期                                     | MUL                  |
| travel_plan                | end_date           | date                                                                         | YES                | NULL              | 结束日期                                     |                      |
| travel_plan                | destinations       | text                                                                         | YES                | NULL              | 目的地列表(JSON格式)                         |                      |
| travel_plan                | status             | varchar(20)                                                                  | YES                | planning          | 状态(planning/ongoing/completed)             | MUL                  |
| travel_plan                | cover_image        | varchar(500)                                                                 | YES                | NULL              | 封面图                                       |                      |
| travel_plan                | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| travel_plan                | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| users                      | id                 | int                                                                          | NO                 | NULL              | 用户ID                                       | PRI                  |
| users                      | username           | varchar(50)                                                                  | NO                 | NULL              | 用户名                                       | UNI                  |
| users                      | email              | varchar(100)                                                                 | NO                 | NULL              | 邮箱                                         | UNI                  |
| users                      | password           | varchar(255)                                                                 | NO                 | NULL              | 密码                                         |                      |
| users                      | avatar             | varchar(200)                                                                 | YES                | NULL              | 头像                                         |                      |
| users                      | phone              | varchar(20)                                                                  | YES                | NULL              | 手机号                                       |                      |
| users                      | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| users                      | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
